"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12"
"1",2,5,2,4,5,2,3,3,5,3,5,5
"2",7,7,1,7,4,2,4,4,6,2,88,2
"3",1,1,7,7,5,1,5,1,7,1,7,4
"4",2,2,5,3,3,2,4,2,6,2,5,2
"5",1,2,88,4,1,1,88,1,88,2,7,6
"6",7,1,5,7,1,2,3,2,5,2,4,3
"7",6,6,1,5,5,3,5,4,1,2,3,1
"8",1,6,1,1,7,1,1,1,7,4,3,5
"9",88,2,7,7,2,1,6,4,4,2,5,2
"10",1,1,7,6,88,3,7,1,88,6,1,1
"11",6,6,2,6,6,3,7,4,6,2,6,5
"12",6,2,6,5,2,2,5,3,5,3,5,5
"13",4,4,6,4,7,4,4,1,7,4,4,4
"14",1,5,1,7,5,1,88,2,88,6,2,5
"15",6,1,5,5,2,2,5,2,6,2,5,2
"16",1,1,5,6,6,1,4,1,7,1,7,6
"17",1,6,1,6,3,5,3,1,7,2,6,2
"18",88,1,6,88,5,1,6,4,88,2,7,7
"19",1,4,6,1,7,7,1,1,7,7,1,1
"20",88,2,5,6,1,1,5,3,88,4,3,5
"21",7,3,6,7,1,2,6,6,4,4,3,4
"22",6,1,5,5,7,4,2,2,88,2,5,5
"23",4,1,6,6,2,1,4,1,7,2,5,3
"24",6,1,7,6,6,6,4,2,5,88,88,4
"25",6,4,4,6,1,1,6,2,6,1,7,2
"26",6,1,7,2,7,6,7,5,5,6,2,2
"27",5,2,5,4,1,2,6,2,6,1,6,6
"28",7,3,6,3,5,3,6,3,5,6,3,4
"29",6,1,5,5,7,4,2,2,88,2,5,5
"30",3,1,7,6,2,1,7,6,3,1,7,7
"31",7,1,7,6,1,6,6,5,4,7,2,2
"32",4,1,7,2,4,2,7,2,6,6,2,1
"33",7,3,5,7,1,2,5,5,4,1,7,2
"34",7,5,4,6,2,2,5,3,6,3,5,3
"35",5,4,3,5,1,1,4,1,7,2,5,5
"36",5,1,88,7,1,2,88,2,7,1,88,5
"37",7,88,6,7,1,2,6,2,6,2,6,88
"38",7,7,1,3,1,4,6,2,4,1,7,4
"39",3,5,4,6,7,3,5,2,6,5,3,3
"40",6,4,4,4,3,1,5,1,6,4,4,5
"41",1,1,1,6,7,1,6,1,88,6,1,5
"42",7,4,4,7,1,1,7,6,5,1,7,6
"43",1,1,5,2,6,5,3,1,7,4,4,1
"44",1,5,2,4,7,2,3,2,6,4,4,3
"45",1,3,7,6,1,2,7,3,5,2,3,2
"46",7,4,5,7,1,2,2,2,4,4,5,4
"47",7,4,7,7,1,1,7,5,3,4,5,5
"48",7,7,1,7,1,1,5,2,5,1,7,5
"49",7,2,7,7,1,5,7,3,4,2,2,5
"50",7,2,7,6,1,5,5,1,6,3,5,1
"51",1,1,7,6,7,1,3,3,5,7,1,5
"52",88,3,2,6,1,1,6,4,4,5,3,88
"53",1,5,4,5,1,1,6,3,6,2,6,5
"54",7,1,7,6,2,1,6,4,4,1,7,6
"55",4,4,4,4,3,3,5,2,4,2,4,4
"56",7,4,7,5,1,1,5,2,6,4,4,3
"57",5,5,5,5,6,2,6,4,6,88,3,2
"58",5,3,6,6,1,1,7,3,5,88,88,1
"59",3,3,3,7,1,1,2,3,7,1,7,2
"60",7,1,7,7,1,88,88,1,88,3,6,88
"61",4,3,5,2,3,3,5,1,7,5,3,5
"62",7,6,1,5,4,2,6,88,4,88,4,5
"63",7,1,7,7,1,1,7,6,7,5,5,1
"64",88,4,4,4,4,4,4,2,4,4,4,4
"65",7,3,6,6,1,1,6,1,6,3,5,6
"66",7,1,7,7,1,3,6,5,3,5,4,4
"67",7,2,6,6,2,1,3,3,5,5,4,1
"68",4,2,5,4,1,6,5,3,3,2,7,3
"69",6,2,7,6,3,1,2,3,5,3,7,4
"70",6,4,5,4,2,2,5,4,5,4,3,3
"71",6,6,1,5,3,1,3,2,6,88,88,6
"72",6,7,2,6,2,1,2,5,5,2,6,5
"73",7,3,5,4,4,1,88,4,88,4,6,4
"74",7,1,7,7,1,4,7,7,1,88,88,1
"75",1,5,3,1,7,1,5,1,7,1,7,7
"76",7,7,2,6,1,1,6,3,7,4,3,5
"77",7,1,7,6,3,1,5,4,4,3,5,1
"78",88,7,2,88,4,1,2,2,4,3,2,1
"79",2,1,7,5,3,2,5,2,6,3,4,2
"80",2,6,2,6,1,1,4,1,7,1,7,6
"81",7,7,1,5,2,2,4,4,6,2,4,3
"82",7,3,5,4,3,1,5,4,6,3,5,7
"83",7,6,1,2,7,7,6,4,5,7,1,1
"84",1,2,7,3,4,5,4,1,7,3,3,1
"85",7,2,88,4,7,2,4,2,88,4,5,3
"86",5,4,3,5,3,4,6,4,3,4,4,4
"87",7,1,7,7,1,3,6,4,3,1,5,1
"88",7,1,7,3,1,1,6,5,3,1,7,5
"89",7,1,7,7,1,1,3,6,2,1,5,4
"90",1,6,3,6,3,2,4,2,6,3,5,6
"91",7,2,7,6,1,1,7,1,6,1,5,6
"92",5,4,5,5,3,4,5,4,5,4,4,4
"93",6,5,2,6,1,2,6,4,4,4,5,6
"94",5,1,7,7,6,1,6,4,6,2,2,3
"95",5,5,3,5,2,2,6,4,5,4,5,3
"96",7,1,7,7,1,6,6,6,5,2,6,3
"97",4,2,5,4,5,2,4,2,4,4,5,2
"98",7,1,5,4,6,4,5,2,88,5,3,3
"99",88,1,1,1,1,3,88,88,1,1,88,1
"100",2,2,6,7,1,3,6,2,6,3,3,4
